well_API14,operator,ENVBasin,Formation,prob_exceeds_breakeven,expected_profit_USD,pred_central_p50,band_low_calibrated,band_high_calibrated,actual_boe,is_labelled,rank_by_probability,recommended_top10pct
33025006060000,Marathon Oil,WILLISTON,BAKKEN,0.926,4328306.0,118208.0,-8597.0,206432.0,119304.0,True,1,True
33025006320000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,4047258.0,111181.0,-9020.0,218148.0,211470.0,True,2,True
33025006330000,Marathon Oil,WILLISTON,BAKKEN,0.926,3760657.0,104016.0,-8490.0,214027.0,210417.0,True,3,True
33025006380000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,3961665.0,109042.0,-9460.0,213948.0,152461.0,True,4,True
33025006460000,Marathon Oil,WILLISTON,BAKKEN,0.926,2757300.0,78932.0,-9376.0,118629.0,73701.0,True,5,True
33025006500000,Marathon Oil,WILLISTON,BAKKEN,0.926,5005503.0,135138.0,-8915.0,217745.0,166392.0,True,6,True
33025006580000,Marathon Oil,WILLISTON,BAKKEN,0.926,2858602.0,81465.0,-8448.0,132813.0,73863.0,True,7,True
33025006780000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,3680607.0,102015.0,-9691.0,204467.0,150054.0,True,8,True
33025006790000,Marathon Oil,WILLISTON,BAKKEN,0.926,3355758.0,93894.0,-8463.0,131436.0,67099.0,True,9,True
33025006880000,Marathon Oil,WILLISTON,BAKKEN,0.926,4186242.0,114656.0,-9407.0,227012.0,169645.0,True,10,True
33025006920000,Marathon Oil,WILLISTON,BAKKEN,0.926,3836130.0,105903.0,-8675.0,208459.0,105660.0,True,11,True
33025006990000,Marathon Oil,WILLISTON,BAKKEN,0.926,3575169.0,99379.0,-8966.0,171628.0,178425.0,True,12,True
33025007000000,Marathon Oil,WILLISTON,BAKKEN,0.926,5331500.0,143287.0,-8696.0,231385.0,191786.0,True,13,True
33025007310000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,4270609.0,116765.0,-10129.0,201073.0,151922.0,True,14,True
33025007340000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,4400475.0,120012.0,-9267.0,241244.0,258146.0,True,15,True
33025007360000,ConocoPhillips Company/Burlington Resources,WILLISTON,BAKKEN,0.926,4690694.0,127267.0,-9959.0,230220.0,49646.0,True,16,True
33025007450000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,3342138.0,93553.0,-9510.0,210824.0,84314.0,True,17,True
33025007470000,Marathon Oil,WILLISTON,BAKKEN,0.926,4086502.0,112163.0,-8698.0,200225.0,124610.0,True,18,True
33025007600000,Marathon Oil,WILLISTON,BAKKEN,0.926,3132139.0,88303.0,-8070.0,171456.0,161278.0,True,19,True
33025007920000,Marathon Oil,WILLISTON,BAKKEN,0.926,3567841.0,99196.0,-8218.0,182076.0,53853.0,True,20,True
33025007970000,Marathon Oil,WILLISTON,BAKKEN,0.926,4169471.0,114237.0,-8360.0,219032.0,100014.0,True,21,True
33025008040000,Marathon Oil,WILLISTON,BAKKEN,0.926,4167423.0,114186.0,-9913.0,209905.0,219120.0,True,22,True
33025008060000,Marathon Oil,WILLISTON,BAKKEN,0.926,5276174.0,141904.0,-8661.0,227744.0,131276.0,True,23,True
33025008150000,Marathon Oil,WILLISTON,BAKKEN,0.926,3663825.0,101596.0,-9956.0,212583.0,246662.0,True,24,True
33025008190000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,3095658.0,87391.0,-9035.0,160804.0,42756.0,True,25,True
33025008300000,Marathon Oil,WILLISTON,BAKKEN,0.926,4433818.0,120845.0,-7885.0,204467.0,147321.0,True,26,True
33025009880000,Marathon Oil,WILLISTON,BAKKEN,0.926,2890260.0,82257.0,-9161.0,101863.0,73838.0,True,27,True
33025011020000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,3713609.0,102840.0,-8617.0,140656.0,92368.0,True,28,True
33025011040000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,3331442.0,93286.0,-8516.0,144830.0,97343.0,True,29,True
33025013950000,QEP Energy Company,WILLISTON,BAKKEN,0.926,2675382.0,76885.0,-8719.0,134129.0,43369.0,True,30,True
33025015540000,Marathon Oil,WILLISTON,BAKKEN,0.926,3963930.0,109098.0,-9206.0,148518.0,109085.0,True,31,True
33025015550000,Marathon Oil,WILLISTON,BAKKEN,0.926,3910938.0,107773.0,-9457.0,147095.0,96398.0,True,32,True
33025015810000,ConocoPhillips Company/Burlington Resources,WILLISTON,BAKKEN,0.926,4102169.0,112554.0,-9208.0,138260.0,,False,33,True
33025016180000,"Continental Resources, Inc",WILLISTON,BAKKEN,0.926,4161403.0,114035.0,-9363.0,182988.0,157686.0,True,34,True
