API Number,Job End Date (File A),FirstProdDate (File B),ENVWellStatus,API14,api10,state,refrac_date,first_prod_dt,well_age_yrs,job_year,refrac_seq,well_n_refracs,is_injector,lat,lon,operator,county,tvd_ft,frac_water_bbl,dist_nearest_ft,n_offsets_660ft,n_offsets_1320ft,n_offsets_2640ft,n_offsets_2640ft_pre_refrac,known_injector_within_radius,incremental_oil_12mo,relative_uplift,success_flag,label_status,months_on_prod_at_refrac,cum_oil_at_refrac,cum_water_at_refrac,cum_gas_at_refrac,last6_oil_rate,last12_oil_rate,ip30_oil,ip90_oil,peak_oil,months_to_peak,underperf_ratio,pre_arps_Di,pre_arps_b,water_cut_at_refrac,gor_at_refrac,TVD_FT,MD_FT,PlugbackMeasuredDepth_FT,PlugbackTrueVerticalDepth_FT,NumberOfStrings,PerfInterval_FT,UpperPerf_FT,LowerPerf_FT,LateralLength_FT,FracStages,AverageStageSpacing_FT,Proppant_LBS,ProppantIntensity_LBSPerFT,ProppantLoading_LBSPerGAL,TotalFluidPumped_BBL,FluidIntensity_BBLPerFT,TotalWaterPumped_GAL,WaterIntensity_GALPerFT,AcidVolume_BBL,Bottom_Hole_Temp_DEGF,Biocide_LBS,Breaker_LBS,Buffer_LBS,ClayControl_LBS,CrossLinker_LBS,FrictionReducer_LBS,GellingAgent_LBS,IronControl_LBS,ScaleInhibitor_LBS,Surfactant_LBS,Energizer_LBS,Diverter_LBS,OilTestRate_BBLPerDAY,TestRate_BOEPerDAY,GasTestRate_MCFPerDAY,WaterTestRate_BBLPerDAY,FlowingTubingPressure_PSI,ChokeSize_64IN,First3MonthOil_BBL,First12MonthOil_BBL,First3MonthProd_BOE,First12MonthProd_BOE,WHLiquids_PCT,GOR_ScfPerBbl,ENVProppantType,ENVProppantBrand,ENVProducingMethod,ENVWellboreStatus,InjectorWellClass,Formation,Field,ENVBasin,ENVPlay,ENVSubPlay,ENVInterval,ENVRegion,orig_proppant_lbs,orig_fluid_bbl,orig_frac_stages,orig_proppant_intensity,n_formation_tops,shallowest_top_ft,deepest_top_ft,formation_column_ft
30015006760000,2012-01-24 00:00:00,1972-01-01,PRODUCING,30015006760000,3001500676,NM,2012-01-24 00:00:00,1972-01-01,40.06297056810404,2012,1,1,False,32.78423905668199,-104.23732018639096,Apache Corporation,Eddy,,,1309.8708947852142,0.0,1.0,4.0,0.0,0.0,2119.001189816807,4.719391547946968,0.0,ok,205.0,9657.0,12232.0,408050.0,59.833333333333336,37.41666666666666,53.0,57.0,1220.0,129.0,0.6564327485380117,1.0000000004277452e-06,1.1999999999999995,0.7284417549167927,1693.593314763231,5797.0,5797.0,,,,102.0,5330.0,5432.0,,,,206294.0,,0.86,5681.0,,238602.0,,,,194.0,811.0,,,626.0,784.0,3929.0,,,5003.0,,,,,,,,,5515.0,20268.0,10334.0,38247.0,36.0,10575.0,,,,PRODUCING,,ABO,EMPIRE,PERMIAN OTHER,YESO,YESO,ABO,PERMIAN,,,,,,,,
30015209070000,2018-03-12 05:00:00,1973-12-01,PRODUCING,30015209070000,3001520907,NM,2018-03-12 05:00:00,1973-12-01,44.276522929500345,2018,1,1,False,,,,,,,,,,,,,-75.99836862086408,-0.0483758418460873,0.0,ok,279.0,19790.0,159043.0,199099.0,132.66666666666666,130.91666666666666,6.0,5.666666666666667,1121.0,201.0,23.102941176470587,1.0000000000000002e-06,0.9462687190812712,0.898482336436679,543.9698492462312,9880.0,9880.0,3178.0,3178.0,3.0,8.0,8826.0,8834.0,,1.0,,174134.0,1001.0,0.62,6710.0,39.0,281799.0,1620.0,,,,3429.0,,,,,6839.0,9995.0,,3403.0,,,,38.0,230.0,,1650.0,,0.0,1398.0,1564.0,88975.0,5.0,121844.0,,,PUMPING,PRODUCING,,YESO,SEVEN RIVERS HILLS,DELAWARE,DELAWARE,DELAWARE WEST EXTENSION,DELAWARE VERTICAL,PERMIAN,,,,,7.0,2480.0,9789.0,7309.0
30015217810000,2019-03-19 00:00:00,1976-12-01,PRODUCING,30015217810000,3001521781,NM,2019-03-19 00:00:00,1976-12-01,42.2943189596167,2019,1,1,False,32.31797549972628,-103.94089924164868,XTO Energy/ExxonMobil,Eddy,11544.0,15564696.0,550.8860569169917,2.0,2.0,2.0,2.0,0.0,184414.99998793108,15280139897.816404,1.0,ok,291.0,618.0,780.0,774692.0,0.0,0.0,0.0,43.66666666666666,131.0,2.0,0.0,4.828945562896503,0.0368950799197226,,,13771.0,13771.0,19494.0,,4.0,6859.0,12580.0,19439.0,8078.0,47.0,172.0,17260300.0,2516.0,1.29,317849.0,46.0,13349649.0,1946.0,480.0,,11785.0,620.0,,,,60979.0,89578.0,648.0,4270.0,,,,1682.0,3497.0,10887.0,3804.0,,,412.0,2339.0,23189.0,149575.0,20.0,24538.0,,,,UNREPORTED,,WOLFCAMP GAS,PURPLE SAGE,DELAWARE,DELAWARE,DELAWARE WEST STATELINE,WOLFCAMP C,PERMIAN,17260300.0,317849.0,47.0,2516.0,7.0,589.0,10154.0,9565.0
30015219310000,2015-12-14 06:00:00,1977-03-01,PRODUCING,30015219310000,3001521931,NM,2015-12-14 06:00:00,1977-03-01,38.78713210130048,2015,1,1,False,32.44190826590558,-104.17984666376456,Occidental Oil and Gas,Eddy,11775.0,58215.0,2992.668611195676,0.0,0.0,0.0,0.0,0.0,460.999987931066,38197241.59607062,0.0,ok,252.0,56.0,4488.0,827643.0,0.0,0.0,0.0,0.0,14.0,183.0,0.0,4.828945562896503,0.0368950799197226,,,11775.0,11775.0,9998.0,,3.0,100.0,9565.0,9665.0,,1.0,,2762.0,28.0,0.05,1386.0,14.0,58215.0,582.0,198.0,,,,,,,,,,,,,,,49.0,296.0,,110.0,,112.0,317.0,45712.0,142461.0,0.0,1000000.0,,,FLOWING,PRODUCING,,WOLFCAMP EAST GAS,CARLSBAD,DELAWARE,DELAWARE,DELAWARE NORTHWEST,DELAWARE VERTICAL,PERMIAN,,,,,6.0,5220.0,11744.0,6524.0
30015226270000,2012-10-01 00:00:00,1979-01-01,PRODUCING,30015226270000,3001522627,NM,2012-10-01 00:00:00,1979-01-01,33.74948665297741,2012,1,1,False,32.278373078682904,-104.06454251851572,Chevron USA Inc.,Eddy,6658.0,3056073.0,1289.1126113085766,0.0,1.0,10.0,1.0,0.0,1676.999987931066,138951790.39611804,0.0,ok,405.0,402.0,15407.0,7714408.0,0.0,0.0,115.0,38.333333333333336,115.0,0.0,0.0,4.828945562896503,0.0368950799197226,,,13117.0,13117.0,9192.0,,4.0,300.0,12338.0,12638.0,2333.0,2.0,2333.0,100000.0,333.0,0.96,2476.0,8.0,103999.0,347.0,,,,,,,,,,,,,,,,381.0,2287.0,,3100.0,12.0,115.0,402.0,174432.0,470912.0,0.0,1000000.0,,,,UNREPORTED,,BONE SPRING SOUTH,CULEBRA BLUFF,DELAWARE,DELAWARE,DELAWARE WEST STATELINE,MIDDLE AVALON,PERMIAN,100000.0,2476.0,2.0,333.0,9.0,520.0,8063.0,7543.0
30015232540000,2015-07-31 00:00:00,1981-01-01,PRODUCING,30015232540000,3001523254,NM,2015-07-31 00:00:00,1981-01-01,34.57631759069131,2015,1,1,False,32.57068,-104.19725,Occidental Oil and Gas,Eddy,11325.0,49748.0,5088.49126933744,0.0,0.0,0.0,0.0,0.0,368.999987931066,30574364.548698604,0.0,ok,247.0,740.0,713.0,685026.0,0.0,0.0,0.0,0.0,118.0,86.0,0.0,4.828945562896503,0.0368950799197226,,,11325.0,11325.0,8717.0,8717.0,3.0,8.0,11083.0,11091.0,,1.0,,110880.0,866.0,2.21,1193.0,9.0,50125.0,392.0,8.0,,332.0,359.0,,,20.0,,975.0,,,,,,10.0,10.0,,7.0,50.0,,0.0,0.0,1621.0,3783.0,1.0,400655.0,,,PUMPING,PRODUCING,,BS ASSOC,OLD MILLMAN RANCH,DELAWARE,DELAWARE,DELAWARE NORTHWEST,DELAWARE VERTICAL,PERMIAN,,,,,5.0,4850.0,11245.0,6395.0
30015274910000,2013-08-05 00:00:00,1993-10-01,PRODUCING,30015274910000,3001527491,NM,2013-08-05 00:00:00,1993-10-01,19.84394250513347,2013,1,1,False,32.25219484522172,-103.78925460690196,Occidental Oil and Gas,Eddy,6350.0,76818.0,207.8017139563846,1.0,1.0,2.0,0.0,0.0,7599.215953258422,13.290360227019312,0.0,ok,224.0,48803.0,170759.0,178865.0,41.16666666666666,51.25,908.0,815.3333333333334,913.0,31.0,0.0628577269010629,0.0781374601938578,1.0000025657902526e-06,0.9211114659853082,10263.157894736842,8150.0,8150.0,8109.0,,,48.0,7830.0,7878.0,,,,151701.0,,1.97,1829.0,,76818.0,,,,72.0,85.0,,344.0,935.0,,11645.0,,111.0,312.0,,,,,,,,,9221.0,21171.0,12037.0,27805.0,71.0,2478.0,,,,PRODUCING,,DELAWARE WEST,SAND DUNES,DELAWARE,DELAWARE,DELAWARE CORE,DELAWARE VERTICAL,PERMIAN,,,,,4.0,4060.0,7900.0,3840.0
30015275780000,2013-10-02 00:00:00,1994-03-01,PRODUCING,30015275780000,3001527578,NM,2013-10-02 00:00:00,1994-03-01,19.589322381930184,2013,1,1,False,32.24463503050165,-103.79381469555088,Occidental Oil and Gas,Eddy,6374.0,75894.0,1873.079408570472,0.0,0.0,3.0,0.0,0.0,-98.89786136345742,-0.2031182907366121,0.0,ok,226.0,31366.0,169743.0,155990.0,25.666666666666668,46.75,680.0,503.0,680.0,0.0,0.0929423459244532,0.1614796746619854,1.0266864494978467e-06,0.9771275805732956,6129.87012987013,8200.0,8200.0,8116.0,,,172.0,7863.0,8035.0,,,,153604.0,,2.02,1807.0,,75894.0,,,,16.0,20.0,674.0,421.0,662.0,,8695.0,,45.0,257.0,,,,,,,,,4773.0,11334.0,7238.0,19258.0,58.0,4396.0,,,,PRODUCING,,DELAWARE WEST,SAND DUNES,DELAWARE,DELAWARE,DELAWARE CORE,DELAWARE VERTICAL,PERMIAN,,,,,4.0,4060.0,7900.0,3840.0
30015288030000,2013-06-19 00:00:00,1996-04-01,PRODUCING,30015288030000,3001528803,NM,2013-06-19 00:00:00,1996-04-01,17.215605749486652,2013,1,1,False,32.61557376791495,-104.15886102623364,Occidental Oil and Gas,Eddy,11159.0,126693.0,689.2345380143638,0.0,1.0,3.0,0.0,0.0,3471.999987931066,287680750.17908275,0.0,ok,207.0,104783.0,5102.0,5418644.0,0.0,0.0,4108.0,6825.666666666667,8627.0,3.0,0.0,4.828945562896503,0.0368950799197226,,,11159.0,11159.0,6810.0,6810.0,3.0,110.0,10203.0,10313.0,,1.0,,237000.0,2135.0,1.97,2865.0,26.0,120331.0,1084.0,,,78.0,3337.0,345.0,,970.0,,17088.0,182.0,,9124.0,,,267.0,1032.0,4587.0,,2500.0,,20477.0,66166.0,73318.0,352776.0,11.0,48628.0,,,PUMPING,PRODUCING,,BONE SPRING,WINCHESTER,DELAWARE,DELAWARE,DELAWARE NORTHWEST,DELAWARE VERTICAL,PERMIAN,,,,,5.0,963.0,10365.0,9402.0
30015289960000,2012-10-25 00:00:00,1998-03-01,PRODUCING,30015289960000,3001528996,NM,2012-10-25 00:00:00,1998-03-01,14.652977412731008,2012,1,1,False,32.60810396487017,-104.15860697778456,Occidental Oil and Gas,Eddy,11325.0,32238.0,1037.9374184450885,0.0,2.0,2.0,0.0,0.0,3457.999987931066,286520747.15013486,0.0,ok,176.0,469.0,7582.0,192396.0,0.0,0.0,24.0,8.0,74.0,24.0,0.0,4.828945562896503,0.0368950799197226,,,11350.0,11350.0,6600.0,6600.0,3.0,186.0,11046.0,11232.0,,1.0,,211750.0,,2.38,1095.0,23.0,45999.0,958.0,,,68.0,,408.0,,1154.0,,1815.0,,,5781.0,,,,53.0,318.0,,600.0,,24.0,55.0,741.0,5358.0,27.0,16450.0,,,OTHER,PRODUCING,,BS ASSOC,OLD MILLMAN RANCH,DELAWARE,DELAWARE,DELAWARE NORTHWEST,DELAWARE VERTICAL,PERMIAN,,,,,7.0,6372.0,10805.0,4433.0
